NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE HORECA;TYPE;TELEPHONE;TYPE_restaurant
Do Eat;Route de Philippeville;256;6010;Couillet;Restaurant;Japonnais;071/256256;Japonnais
CHEZ AURELIO;RUE DE GILLY;182;6010;Couillet;Restaurant;Autre;;Autre
L ALLEGRIA;RUE DE GILLY;394A;6010;Couillet;Restaurant;Autre;071/472370;Autre
AUX SAVEURS DE CHINE;RUE DE LA LIAISON;5;6010;Couillet;Restaurant;Autre;071 43 88 07;Autre
Il Primitivo;Rue de Villers;131;6010;Couillet;Restaurant;Autre;071/430709;Autre
La Gioconda;Rue Saint-Marceau 1;1;6010;Couillet;Restaurant;Autre;071/369039;Autre
Le Dounya;Chaussée de Fleurus;38;6060;Gilly;Restaurant;Algérien;071-422049;Algérien
Le Marathon;Rue des Brasseurs;1;6060;Gilly;Restaurant;Grec;;Grec
Pizza Napoli;Avenue de Philippeville;284 C;6001;Marcinelle;Restaurant;Autre;071/437751;Autre
Le Rhodini;Avenue Mascaux;295;6001;Marcinelle;Restaurant;Grec;071/36 46 30;Grec
Le Saint-Charles;Rue du Cazier;80;6001;Marcinelle;Restaurant;Autre;071/880856;Autre
Le Jardin d'Italie;Chaussée de Charleroi;113;6061;Montignies-sur-Sambre;Restaurant;Autre;071/70.17.35;Autre
Le Lesvos;Chaussée de Charleroi;139;6061;Montignies-sur-Sambre;Restaurant;Grec;071/19.13.07;Grec
Les délices d'Asie;Place Albert 1er;41;6061;Montignies-sur-Sambre;Restaurant;Chinois;0489/52.54.43;Chinois
Bella Napoli;Place Albert 1er;43;6061;Montignies-sur-Sambre;Restaurant;Italien;071/58.74.00;Italien
Hong-Kong;Chaussée de Bruxelles;145;6040;Jumet;Restaurant;Chinois;071/34 37 77;Chinois
Le Domino;Chaussée de Bruxelles;136 D;6040;Jumet;Restaurant;Autre;071/37 37 40;Autre
L'Y;Rue  Louis Lambert;10:00 AM;6040;Jumet;Restaurant;Autre;0478/29 84 30;Autre
Le Sel et le Poivre;Rue Auguste Delvaux;6;6040;Jumet;Restaurant;Autre;071/35 97 06;Autre
L'Etna;Rue César de Paepe;40;6040;Jumet;Restaurant;Autre;;Autre
La Savane;Avenue de Waterloo;65;6000;Charleroi;Restaurant;Autre;0493/ 06.07.34;Autre
Lo Scugnizzo;Grand Rue;10;6000;Charleroi;Restaurant;Pizzeria;071/41.16.08;Pizzeria
Les 2 Fenêtres;Rue Basslé;27;6000;Charleroi;Restaurant;Autre;071/63.43.03;Autre
Martine Ducat;Rue Neuve;76;6000;Charleroi;Restaurant;Autre;071/32.13.92 - 0486/40.90.28;Autre
Michelangelo;Boulevard De L'Yser;11;6000;Charleroi;Restaurant;Autre;071/30.32.32;Autre
Restaurant Chermannne;Avenue De L'Europe;62;6000;Charleroi;Restaurant;Autre;071/30.36.80;Autre
Ribs House;Avenue De L'Europe;102;6000;Charleroi;Restaurant;Autre;0484/83.88.13;Autre
El Mexicanito;Rue De La Croix-Rouge;7;6000;Charleroi;Restaurant;Autre;;Autre
Pot Au Phô;Rue De Montigny;34;6000;Charleroi;Restaurant;Vietnamien;071/32.20.03;Vietnamien
Le Delphes;Rue Willy Ernst;3;6000;Charleroi;Restaurant;Grec;071/41.39.29;Grec
Le Deauville;Boulevard Tirou;28-f�vr;6000;Charleroi;Restaurant;Français;071/31.40.21;Français
L'Originel;Boulevard Tirou;73;6000;Charleroi;Restaurant;Autre;071/53.54.23;Autre
Hôtel Novotel;Place Verte;17;6000;Charleroi;Hôtel;;;
Au Provençal;Rue Puissant D'Agimont;10;6000;Charleroi;Restaurant;Autre;071/31.28.37;Autre
Au Grand Bol;Place De La Digue;2;6000;Charleroi;Restaurant;Autre;0471/68.60.39;Autre
Huggy's Bar;Place De La Digue;15-17;6000;Charleroi;Restaurant;Autre;0473/84.77.20;Autre
L'Aptit;Rue Du Grand Central;51;6000;Charleroi;Restaurant;Autre;071/53.53.83;Autre
Pizz'Anna;Rue De Dampremy;15;6000;Charleroi;Restaurant;Pizzeria;071/32.51.79;Pizzeria
Oggi Coffee;Rue De Dampremy;76;6000;Charleroi;Restaurant;Autre;0493/36.13.34;Autre
