NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE;TYPE;TELEPHONE
Kidur +;Rue de la Tombe;39;6001.0;Marcinelle;Construction;Peintures;071/366215
Starcut Coiffure;Rue de l'Ange;74;6001.0;Marcinelle;Coiffeur;;071/474765
Intuition au Féminin;Rue de Nalinnes;137;6001.0;Marcinelle;Coiffeur;;071/472700
Café le Dauphin;Rue des Cayats;59;6001.0;Marcinelle;Café;;071/36 84 40
Loyds Pharma Cayats;Rue des Cayats;238;6001.0;Marcinelle;Pharmacie;;071/438680
Spapens Fresh Food;Rue des Forgerons;102;6001.0;Marcinelle;Grossiste;Alimentation;071/363534
Marché Vespéral;Rue des Forgerons;102;6001.0;Marcinelle;Grossiste;Alimentation;071/953389
Le Vespéral;Rue des Forgerons;115;6001.0;Marcinelle;Alimentation générale;;0495/13 80 19
Garage Godon;Rue des Haies;135;6001.0;Marcinelle;Voiture;Garagiste;071/478771
Sandwich Bar;Rue des Haies;105;6001.0;Marcinelle;Snack;Sandwicherie;0477/598376
Stylespace;Rue des Hiercheuses;28;6001.0;Marcinelle;Maison & Décoration;;071/600600
Ma Pharmacie;Rue du Bierchamps;111;6001.0;Marcinelle;Pharmacie;;071/365573
Octa +;Rue du Sanatorium;2;6001.0;Marcinelle;Station essence;;071/362077
SCS De Groote;Rue du Temple;60;6001.0;Marcinelle;Construction;Menuiserie;
Kalyvas Kalliopi;Rue du Vieux Moulin;155;6001.0;Marcinelle;Coiffeur;Perruques;071/43 00 37
Tapis Max;Rue Florian Montagne;14 B;6001.0;Marcinelle;Voiture;Garnisseur;071/364593
L'Artisan du Pain;Rue Florian Montagne;186;6001.0;Marcinelle;Boulangerie;;071/193286
Librairie Gilis;Rue François Hubinon;36;6001.0;Marcinelle;Librairie;;071/369208
Fresh Concept;Rue Hoyas;49;6001.0;Marcinelle;Grossiste;Frais emballé;071/298000
Carrosserie Pino;Rue Petite Chenevière;228;6001.0;Marcinelle;Voiture;Carrosserie;071/43 34 57
HMCS Informatique;Rue Sabatier;19;6001.0;Marcinelle;Informatique;;071/472638
Crelan;Rue Sabatier;1;6001.0;Marcinelle;Banque & Assurance;;071/32 65 30
CHEZ JOSEPH;Avenue du Centenaire;56 D;6061.0;Montignies-sur-Sambre;Coiffeur;;071/32.18.53
MODA NOSTRA;Avenue du Centenaire;58 E;6061.0;Montignies-sur-Sambre;Mode;;0485/38.31.10
ACIER GROSJEAN;Avenue du Centenaire;49;6061.0;Montignies-sur-Sambre;Industrie;Métal;071/31.25.97
Auto solution;Avenue du Centenaire;249;6061.0;Montignies-sur-Sambre;Voiture;;0472/09.19.49
Hair9;Avenue du Centenaire;7;6061.0;Montignies-sur-Sambre;Coiffeur;;0496/07.00.00
Starter;Avenue du Centenaire;8;6061.0;Montignies-sur-Sambre;Auto-école;;071/70.37.23
